Prod Count,DEV Count,QA Count,Tableau Tips and Tricks,Count of Apps,Clear Filters,App Documentation,YTD Tickets,LY Tickets,Support Managed By,AppCount,Cluster_,TAO,Number of Records,Sum AM Niche,Sum AM Ticket Based ,Sum BT,Sum TS JJTS ,Am Extract Date (App Inv Ticket2 Sum),Am Extract Date,APPLICATION,Category,Cluster SP,Content Type,Created,Created By,TAO Group,Dv Change Request Current Year Ticket Count,Dv Change Request Prior Year Ticket Count,Dv Cmdb Ci,Dv Incident Current Year Ticket Count,Dv Incident Prior Year Ticket Count,Support Group Manager,TAO Manager,Operational Status,Parent of Support,Dv Problem Current Year Ticket Count,Dv Problem Prior Year Ticket Count,Dv Sc Request Current Year Ticket Count,Dv Sc Request Prior Year Ticket Count,Support Group 1,SLA Active,Business Service ,Dv U Change Manager Tao,User Region,Cluster,Vendor,GxP,BT Company,SLA Rate,Service Level Medal,Status Reason,Support Group 2,Support Group 3,Zcode,Gso,Managing Region,Modified,Modified By,App Name,Rso,Sharepoint Id,Sys Class Name,appl_unique_id,App Alias,App ID,App Lifecycle,COE,Functional Org,ITS Managed,Primary Product Line,GOC,Type,U Unique Ci,Used For,T-Shirt,Version
1,0,0,Tableau Tips and Tricks,1,Reset Filters,Application Inventory Documentation,Not Available,Not Available,AM - Niche,1,0,LAWRENCE HECKEL (7287),1,1,0,1,0,00:00.0,4/9/2019 10:09,ASTRO-PROD,Service,0,Item,3/7/2019 16:12,"Weston, Anna [VISUS Non-J&J]",SYN-ARS-NA,0,0,ASTRO-PROD,0,0,LAWRENCE HECKEL (7287),WILBUR BOONE (361454),Deployed,PARENT APP SERVICES SUPPORT,0,0,0,215,GLOBAL SERVICE DESK,,,WILBUR BOONE (361454),NA,,,FALSE,Synthes US,,,Transformed,DS LEGACY APPS L2,,Z998883,"Bolger, Tim [ITSUS]",Not Defined,3/18/2019 21:21,"Weston, Anna [VISUS Non-J&J]",ASTRO-PROD,Not Defined,3260,cmdb_ci_appl,APP000010021110,,APP000010021110,Maintain,DePuy Synthes,App Svcs,FALSE,Customer Connectivity,Supply Chain,Server,CI000000002328343,Production,,1
1,0,0,Tableau Tips and Tricks,1,Reset Filters,Application Inventory Documentation,Not Available,Not Available,AM - Niche,1,0,DOMINIQUE RUTS (10018704),1,1,0,1,0,00:00.0,4/9/2019 10:09,PRS,Service,0,Item,3/7/2019 16:11,"Weston, Anna [VISUS Non-J&J]",EPL-OIBI,0,0,PRS,5,10,DOMINIQUE RUTS (10018704),JESSICA NEREIDA RAMIREZ CASTRO (78015230),Deployed,PARENT APP SERVICES SUPPORT,0,2,3,8,GLOBAL SERVICE DESK,TRUE,,JESSICA NEREIDA RAMIREZ CASTRO (78015230),EMEA,"Digital & E-commerce, Social & Collaboration​",,FALSE,Janssen Belgium,,Gold,Transformed,ITAS-DIG-EMEA-CTS-CUSTOM-L2,ITAS-DIG-EMEA-CTS-CUSTOM-L3,Z999993,"Bolger, Tim [ITSUS]",EMEA,3/18/2019 21:48,"Weston, Anna [VISUS Non-J&J]",PRS,"Ruts, Dominique [JANBE]",2234,cmdb_ci_appl,APP0025228,HTTP://PRS.EU.JNJ.COM,APP0025228,Maintain,Pharma,App Svcs,FALSE,Make,Supply Chain,Website,CI000000000214401,Production,Large,1
1,0,0,Tableau Tips and Tricks,1,Reset Filters,Application Inventory Documentation,Not Available,Not Available,AM - Niche,1,0,LUCAS ASSAD (1012785),1,1,0,1,0,00:00.0,4/9/2019 10:09,PAS-X BRAZIL - PROD,Service,0,Item,3/7/2019 16:13,"Weston, Anna [VISUS Non-J&J]",GMES-DAPA,0,0,PAS-X BRAZIL - PROD,27,119,LUCAS ASSAD (1012785),MATHEUS ROLIM (1028336),Deployed,PARENT APP SERVICES SUPPORT,0,0,88,125,GLOBAL SERVICE DESK,TRUE,,,LATAM,"ERP- Plan, Source, Make, Deliver ​",,TRUE,J&J Consumer Brazil Mfg,,Gold,Transformed,GMES-DAPA L2,GMES-DAPA L2,Z999134,Not Defined,LATAM,3/18/2019 21:44,"Weston, Anna [VISUS Non-J&J]",PAS-X BRAZIL - PROD,Not Defined,4988,cmdb_ci_appl,APP000010016758,,APP000010016758,,Consumer,App Svcs,FALSE,Make,Supply Chain,Server,CI000000000664601,Production,Small,1
1,0,0,Tableau Tips and Tricks,1,Reset Filters,Application Inventory Documentation,Not Available,Not Available,AM - Ticket Based,1,APP MAINT - CBT,LAKSHMI NARAYANAN (167821),1,0,1,1,0,00:00.0,4/9/2019 10:09,DELOITTE - GREECE,Service,APP MAINT - CBT,Item,3/7/2019 16:14,"Weston, Anna [VISUS Non-J&J]",DELOITTE_GREECE,0,0,DELOITTE - GREECE,0,0,LAKSHMI NARAYANAN (167821),GIOVANNI CURATOLA (22500849),Deployed,PARENT APP MAINTENANCE,0,0,0,0,AM DISPATCH,TRUE,APP MAINT - CBT,GIOVANNI CURATOLA (22500849),EMEA,Corporate-BT (Corporate-Business Technology),COGNIZANT,FALSE,JJ World Headqtrs US,,Iron,Transformed,CBT RR COG,CBT SPEC COG,Z999425,"Casteleyn, Peter [JANBE]",EMEA,3/18/2019 21:21,"Weston, Anna [VISUS Non-J&J]",DELOITTE - GREECE,"Bedi, Tejinder Singh [JANBE]",6125,cmdb_ci_appl,APP000010023292,,APP000010023292,Maintain,ITHR,App Svcs,FALSE,EMEA,Corporate,Website,CI000000009593707,Production,Small,1
1,0,0,Tableau Tips and Tricks,1,Reset Filters,Application Inventory Documentation,Not Available,Not Available,AM - Ticket Based,1,0,LAKSHMI NARAYANAN (167821),1,0,1,1,0,00:00.0,4/9/2019 10:09,GLOBAL HRDAAS-PROD,Service,0,Item,3/7/2019 16:10,"Weston, Anna [VISUS Non-J&J]",GDI HUB,0,0,GLOBAL HRDAAS-PROD,1,1,LAKSHMI NARAYANAN (167821),MEI NG (1023917),Deployed,PARENT APP MAINTENANCE,0,0,3,0,GLOBAL SERVICE DESK,TRUE,APP MAINT - CBT,RAJIV KAKI (373589),GLOBAL,Corporate-BT (Corporate-Business Technology),COGNIZANT,FALSE,JJ World Headqtrs US,,Silver,Transformed,CBT RR COG,CBT SPEC COG,Z999442,Not Defined,"""NA""",3/18/2019 21:27,"Weston, Anna [VISUS Non-J&J]",GLOBAL HRDAAS-PROD,Not Defined,1345,cmdb_ci_appl,APP000010026894,,APP000010026894,,ITHR,App Svcs,FALSE,Data and Analytics,Corporate,Server,CI000000009207528,Production,Large,1
1,0,0,Tableau Tips and Tricks,1,Reset Filters,Application Inventory Documentation,Not Available,Not Available,AM - Ticket Based,1,APP MAINT - DATA AND ANALYTICS,SATISH MURTHY DODDAMALUR SATHYANARAYANA (1039440),1,0,1,1,0,00:00.0,4/9/2019 10:09,PDS DATA ANALYTICS-PROD,Service,APP MAINT - DATA AND ANALYTICS,Item,3/7/2019 16:13,"Weston, Anna [VISUS Non-J&J]",JJSC SCORECARD METRICS BI-DW,0,0,PDS DATA ANALYTICS-PROD,0,0,SATISH MURTHY DODDAMALUR SATHYANARAYANA (1039440),SERGE MUKENDI (1056965),Deployed,PARENT APP MAINTENANCE,0,0,0,0,AM DISPATCH,TRUE,APP MAINT - DATA AND ANALYTICS,ENAYAT MOHANDESI (50001097),NA,Data & Analytics​,L&T,FALSE,DePuy Orthopaedics US,,Silver,,DATA AND ANALYTICS RR LTI,DATA AND ANALYTICS SPEC LTI,Z998688,"Bolger, Tim [ITSUS]",Not Defined,3/18/2019 21:44,"Weston, Anna [VISUS Non-J&J]",PDS DATA ANALYTICS-PROD,Not Defined,4726,cmdb_ci_appl,APP000010030122,,APP000010030122,,DePuy Synthes,App Svcs,FALSE,Integrated Solutions,Supply Chain,Server,CI000000007096598,Production,Medium,1
1,0,0,Tableau Tips and Tricks,1,Reset Filters,Application Inventory Documentation,Not Available,Not Available,AM - Ticket Based,1,APP MAINT - DIG AND ECOMMERCE SOC AND COLLAB,LAWRENCE HECKEL (7287),1,0,1,1,0,00:00.0,4/9/2019 10:09,MAMAS AL RESCATE-PROD,Service,APP MAINT - DIG AND ECOMMERCE SOC AND COLLAB,Item,3/7/2019 16:13,"Weston, Anna [VISUS Non-J&J]",BUIT-LA WEB APPS,0,0,MAMAS AL RESCATE-PROD,0,0,LAWRENCE HECKEL (7287),LEANDRO MARTINS (1060444),Deployed,PARENT APP MAINTENANCE,0,0,1,0,AM DISPATCH,TRUE,APP MAINT - DIG AND ECOMMERCE SOC AND COLLAB,LEANDRO MARTINS (1060444),LATAM,"Digital & E-commerce, Social & Collaboration​",TCS,FALSE,J&J Brazil,,Silver,Transformed,DIG ECOM SOC COL RR TCS,DIG ECOM SOC COL SPEC TCS,Z999201,"Bolger, Tim [ITSUS]",LATAM,3/18/2019 21:32,"Weston, Anna [VISUS Non-J&J]",MAMAS AL RESCATE-PROD,"Spreng, Loreto [ITAS LatAm]",4310,cmdb_ci_appl,APP000010027642,https://www.mamasalrescate.com,APP000010027642,Maintain,Marketing OTC,App Svcs,FALSE,Digital and Connected Commerce,Consumer,Website,CI000000009232561,Production,Small,1
1,0,0,Tableau Tips and Tricks,1,Reset Filters,Application Inventory Documentation,Not Available,Not Available,AM - Ticket Based,1,0,LAKSHMI NARAYANAN (167821),1,0,1,1,0,00:00.0,4/9/2019 10:09,GENETEC OMNICAST - JANSSEN BELGIUM - PROD,Service,0,Item,3/7/2019 16:16,"Weston, Anna [VISUS Non-J&J]",SECURITY MANAGEMENT - BELGIUM,0,0,GENETEC OMNICAST - JANSSEN BELGIUM - PROD,0,0,LAKSHMI NARAYANAN (167821),PATRICK OOMS (10015174),Deployed,PARENT APP MAINTENANCE,0,0,0,0,AM DISPATCH,TRUE,APP MAINT - CBT,,EMEA,Corporate-BT (Corporate-Business Technology),COGNIZANT,FALSE,Janssen Belgium,,Iron,Transformed,CBT RR COG,CBT SPEC COG,Z999993,"Casteleyn, Peter [JANBE]",EMEA,3/18/2019 21:22,"Weston, Anna [VISUS Non-J&J]",GENETEC OMNICAST - JANSSEN BELGIUM - PROD,"Bedi, Tejinder Singh [JANBE]",8073,cmdb_ci_appl,APP000010009683,Genetec Omnicast,APP000010009683,Maintain,WWETO,App Svcs,FALSE,EMEA,Corporate,Server,CI000000009593661,Production,Small,1
1,0,0,Tableau Tips and Tricks,1,Reset Filters,Application Inventory Documentation,Not Available,Not Available,AM - Ticket Based,1,APP MAINT - DATA AND ANALYTICS,LAKSHMI NARAYANAN (167821),1,0,1,1,0,00:00.0,4/9/2019 10:09,GENETEC OMNICAST - JANSSEN BELGIUM - PROD,Service,APP MAINT - DATA AND ANALYTICS,Item,3/7/2019 16:16,"Weston, Anna [VISUS Non-J&J]",SECURITY MANAGEMENT - BELGIUM,0,0,GENETEC OMNICAST - JANSSEN BELGIUM - PROD,0,0,LAKSHMI NARAYANAN (167821),PATRICK OOMS (10015174),Deployed,PARENT APP MAINTENANCE,0,0,0,0,AM DISPATCH,TRUE,APP MAINT - CBT,,EMEA,Corporate-BT (Corporate-Business Technology),COGNIZANT,FALSE,Janssen Belgium,,Iron,Transformed,CBT RR COG,CBT SPEC COG,Z999993,"Casteleyn, Peter [JANBE]",EMEA,3/18/2019 21:22,"Weston, Anna [VISUS Non-J&J]",GENETEC OMNICAST - JANSSEN BELGIUM - PROD,"Bedi, Tejinder Singh [JANBE]",8072,cmdb_ci_appl,APP000010009683,Genetec Omnicast,APP000010009683,Maintain,WWETO,App Svcs,FALSE,EMEA,Corporate,Server,CI000000007642140,Production,Small,1
1,0,0,Tableau Tips and Tricks,1,Reset Filters,Application Inventory Documentation,Not Available,Not Available,AM - Ticket Based,1,APP MAINT - CBT,LAKSHMI NARAYANAN (167821),1,0,1,1,0,00:00.0,4/9/2019 10:09,ADITRO L - PROD,Service,APP MAINT - CBT,Item,3/7/2019 16:14,"Weston, Anna [VISUS Non-J&J]",PERSONEC S,0,0,ADITRO L - PROD,0,2,LAKSHMI NARAYANAN (167821),DAVID COLLINS (152018194),Deployed,PARENT APP MAINTENANCE,0,0,1,0,AM DISPATCH,TRUE,APP MAINT - CBT,DAVID COLLINS (152018194),EMEA,Corporate-BT (Corporate-Business Technology),COGNIZANT,FALSE,JJ World Headqtrs US,,Iron,Transformed,CBT RR COG,CBT SPEC COG,Z999425,"Casteleyn, Peter [JANBE]",EMEA,3/18/2019 21:21,"Weston, Anna [VISUS Non-J&J]",ADITRO L - PROD,"Bedi, Tejinder Singh [JANBE]",5813,cmdb_ci_appl,APP000010025823,ADITRO L PAYROLL SWEDEN,APP000010025823,Maintain,ITHR,App Svcs,FALSE,EMEA,Corporate,Server,CI000000009513340,Production,Small,1
